nazivkukca,wikipedia,carstvo,porodica,otrovni,korisnost,veličina,parazit,aktivninoću,životnivijek,imetaksonomista
leptir,Butterfly,Eukaryota,Rhopalocera,Ne,Velika,30,Ne,Da,12,"[{""Ime"": ""Maria"", ""Prezime"": ""Merian""}]"
skakavac,Grasshopper,Eukaryota,Acridomorpha,Ne,Srednja,50,Ne,Da,12,"[{""Ime"": ""David"", ""Prezime"": ""Attenborough""}]"
bubamara,Coccinellidae,Eukaryota,Coccinellidae,Da,Srednja,8,Ne,Da,24,"[{""Ime"": ""Pierre"", ""Prezime"": ""Latreille""}]"
muha,Fly,Eukaryota,Diptera,Ne,Malena,7,Ne,Ne,1,"[{""Ime"": ""Carl"", ""Prezime"": ""Linnaeus""}]"
osa,Wasp,Eukaryota,Hymenoptera,Da,Malena,15,Ne,Ne,1,"[{""Ime"": ""Carl"", ""Prezime"": ""Linnaeus""}]"
stršljen,Hornet,Eukaryota,Vespa,Da,Malena,25,Ne,Ne,1,"[{""Ime"": ""Carl"", ""Prezime"": ""Linnaeus""}]"
komarac,Mosquito,Eukaryota,Culicidae,Ne,Malena,4,Ne,Da,1,"[{""Ime"": ""Johann"", ""Prezime"": ""Meigen""}]"
pčela,Bee,Eukaryota,Anthophila,Ne,Velika,15,Ne,Ne,4,"[{""Ime"": ""Pierre"", ""Prezime"": ""Latreille""}]"
bumbar,Bumblebee,Eukaryota,Bombus,Ne,Velika,25,Ne,Ne,1,"[{""Ime"": ""Pierre"", ""Prezime"": ""Latreille""}]"
žohar,Cockroach,Eukaryota,Blattodea,Ne,Malena,35,Ne,Da,5,"[{""Ime"": ""Carl"", ""Prezime"": ""Brunner""}]"
